atleta_id,apelido,ano,rodada_id,clube_id,posicao_id,status_pre,status_inicial,preco_num,variacao_num,media_num,jogos_num,pontos_num,minutos_jogados,entrou_em_campo,home_dummy,opponent,match_id,G,A,SG,FF,FT,FD,DD,DP,DE,DS,FS,PS,GS,GC,CA,CV,FC,I,PP,PC
11633,Kaique Oliveira,2024,20,127,4,Nulo,reserva,1.98,0.0,-0.25,4,0.0,0.0,False,1.0,120.0,900849,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11798,Geraldo Antunes,2025,13,110,6,PROVÁVEL,0,9.39,0.36,6.5,13,4.95,102.0,True,0.0,103.0,901223,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10470,Pedro Peixoto,2024,14,127,3,Nulo,titular,2.8,-1.02,2.12,10,-1.6,89.0,True,1.0,102.0,901049,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
10661,Adriel Barbosa,2025,36,115,4,Nulo,reserva,1.87,0.0,0.28,14,0.0,0.0,False,1.0,104.0,901290,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10218,Norberto Guimarães,2022,30,118,5,Nulo,reserva,5.55,1.34,2.24,21,7.6,39.0,True,0.0,124.0,900097,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10957,Renan Yamamoto,2023,31,109,2,Provável,reserva,4.46,-0.05,3.62,14,0.0,21.0,True,0.0,101.0,900536,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10160,Osvaldo Esteves,2024,9,102,2,Contundido,0,3.0,0.0,0.0,0,0.0,0.0,False,,,900911,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10163,Quintino Klein,2023,11,113,3,Nulo,0,3.31,0.0,1.83,7,0.0,0.0,False,1.0,123.0,900616,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11588,Ivan Tavares,2025,2,102,3,Provável,titular,8.08,1.0,7.0,2,7.8,999.0,True,1.0,115.0,901152,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10081,JULIANO VASQUES,2024,28,114,1,Nulo,0,5.96,0.0,4.13,8,0.0,0.0,False,1.0,116.0,901091,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11072,Tiago Ramos,2023,3,125,4,Provável,titular,7.63,-0.84,4.73,3,1.4,88.0,True,1.0,105.0,900429,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11293,Juliano Jardim,2023,5,121,1,Nulo,0,2.0,0.0,0.0,0,0.0,0.0,False,1.0,106.0,900477,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10161,Hugo Ferreira,2023,26,113,2,Nulo,reserva,3.79,0.0,2.18,8,0.0,0.0,False,0.0,114.0,900756,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11304,Geraldo Barbosa,2024,19,116,4,PROVÁVEL,titular,4.68,0.15,2.61,13,3.1,96.0,True,,,901113,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10102,Cléber Bittencourt,2022,22,114,4,Provável,0,10.79,0.0,4.45,17,0.0,0.0,False,1.0,105.0,900356,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10664,Wesley Zanetti,2023,29,108,2,Contundido,0,6.0,0.0,0.0,0,0.0,0.0,False,0.0,107.0,900482,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11165,Yago Duarte,2025,32,113,1,Nulo,nao_relacionado,3.0,0.0,0.0,0,0.0,,False,1.0,112.0,901427,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10189,Douglas Queiroz,2022,9,125,1,Nulo,reserva,7.0,0.0,0.0,0,0.0,0.0,False,0.0,101.0,900242,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
